Prey \ predator,Killer whales,Toothed Wales,Porpoises,Gray Whales,Baleen whales,Sea Otters,Walrus Bd Seals,N. Fur Seal,Steller Sea Lion,Resident seals,Wintering seals,Mobile Seabirds,Inshore Seabirds,Sleeper shark,W. Pollock,P. cod,Herring,Arrowtooth,Kamchatka fl.,Gr. Turbot,P. Halibut,YF. Sole,FH. Sole,N. Rock sole,Flatfish,Skates,Sablefish,Eelpouts,Deepwater Fish,POP,Rockfish,Shortspine Thorns,Other Sebastes,Atka mackerel,Greenlings,Sculpins,Misc.fish shallow,Octopi,Squids,Salmon,Bathylagidae,Myctophid,Forage fish,Bairdi,King Crab,Opilio,Pandalidae,NP shrimp,Sea stars,Brittle stars,Urchins dollars cucumbers,Snails,Hermit crabs,Misc. crabs,Misc. Crustacean,Benthic Amphipods,Coral-like,Urochordata,Sea Pens & Sponges,Bivalves,Polychaetes,Misc.worms,Scyphozoid,Fish Larvae,Chaetognaths,Euphasids,Mysids,Pelagic Amphipods,Gelatinous filter feeders,Pteropods,Copepods,Pelagic microbes,Benthic microbes,Macroalgae,Large Phytoplankton,Sm Phytoplankton,Outside Production,Discards,Offal,Detritus,Outside Detritus
Coral-like,0,0,0,0.000262686,8.17E-05,0,0,0,0,0,0,0,0,0,0,4.64E-07,0,9.30E-07,0,0,0,0.000262228,5.78E-09,5.03E-06,6.36E-07,0,0,0.00814503,0,0,0,0,0,0,2.74E-06,0.0620981,0,0,0,0,0,0,0,0.01861175,0.03497472,0.05530837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5541444,0
Urochordata,0,0,0,0.0002754,8.57E-05,0,0,0,0,0,0,0,0,0,0.001775304,0.005299044,0,1.49E-06,0,0,1.31E-05,0.02983233,0.002480364,0.007161472,0.000319944,1.46E-06,0.005334567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007170577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.746032,0
Sea Pens & Sponges,0,0,0,5.27E-05,1.64E-05,0,0,0,0,0,0,0,0,0,0.005768136,0.00042098,0,2.50E-09,0,0,0,0.000840978,0,1.24E-05,1.36E-05,7.01E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002999215,0,0.01767165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08277924,0
Bivalves,0,0,0,0.04806775,0.01495304,0,1.253823,0,6.07E-05,0,0,0.006184646,0.000388525,0,0.1277761,0.01606284,0,0.000287253,2.85E-05,0,0.002310779,0.4865295,0.04851058,0.5870098,0.1568604,2.44E-05,0,0.2493818,0,0,0,0,0,0,2.82E-05,0.000660083,0,0.281015,0,0,0,0,0,0.4963421,0.140706,1.714755,1.624533,3.060539,13.60607,0,0,1.460976,1.81822,0.7278746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.375,0
Polychaetes,0,0,0,0.01684842,0.005241248,0,0,0,0,0,0,0.002167805,0.000136184,0,1.193036,1.172164,0.000906801,0.001708958,0.002878706,8.34E-11,0.000142454,1.140777,0.09401659,4.40828,0.8748457,0.004721721,1.17E-06,1.132027,0,9.31E-05,0.001736003,0,0.000372529,0,0.000168485,0.2268701,2.78E-05,0,0,0,0,0,0,0.6190785,0.1442353,1.933777,0,0,0.2990344,0,0,1.460976,1.81822,0.7278746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.1322,0
Misc.worms,0,0,0,0.002496685,0.000776675,0,0.3217223,0,0,0,0.01520361,0.000321237,2.02E-05,0,0.7835176,0.2716093,0,0,7.27E-05,0,0.001195287,0.4753902,0.02901288,0.5088971,0.1535525,5.13E-05,0,0.1122167,0,5.67E-09,0,0,0,0,0,0.03227655,0,0,0,0,0,0,0,0,0.01984969,0.1624503,0,0,0.1495172,0,0,1.460976,1.81822,0.7278746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.50163,0
Scyphozoid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00306993,3.63E-05,0,3.65E-06,0,0,0,0.01459255,5.24E-06,0.000256117,3.51E-06,1.29E-05,0.000554552,0,0,0,0,0,0,0,0,1.26E-05,0.1501618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3127917,0
Fish Larvae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.59E-05,0.000157285,0,0.000262696,0,0,3.91E-05,0.000106018,0,0,1.84E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05068956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04909386,0
Chaetognaths,0,0,0,0,0.03932166,0,0,0,0,0,0,0,0,0,3.332745,6.24E-05,0,1.88E-05,0,0,0,0.000195308,0.006359974,9.62E-06,0,0,0,0,0,0.000504572,0.001286918,0,0.000357804,0,0,0,0,0,0.2472766,0.2238823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.212467,0
Euphasids,0,0,0,0,1.248699,0,0,0,0,0,0,0.08492365,0.003783579,0,45.15979,0.6044123,4.019156,0.5267073,0.01008611,0.8289773,0.002138201,0.4749078,0.5014864,0.07740667,0.09071571,7.28E-05,0.01779414,0.00086542,0,0.07084632,0.01941176,0,0.004177292,1.20636,0,0.01609158,0.02710759,0,4.154247,0.5037352,0.5309995,2.714125,19.29634,0,0,0.004100315,3.249066,6.121078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6488264,0,0.5513172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.6408,0
Mysids,0,0,0,0,0.07579552,0,0,0,0,0,0,0.005075502,0.000218308,0,3.240519,1.354074,0,0.03211073,0.000594818,0.000107227,0.1945344,0.04569256,0.4513684,0.07920218,0.1315228,0.000451076,0,0.000399793,0,0.2371451,0.005039925,0.001113558,0.002866194,0,0.000102984,0.1326618,0.0808048,0,0.2472766,0,0,0,0,0,0,0.02806772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5513172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.009844,0
Pelagic Amphipods,0,0,0,0,0.1301531,0,0,0,0,0,0,0.007910294,0.000340238,0,1.615078,0.002386223,0.000922964,1.56E-06,0,0.006444307,0,0.001317627,0.00067455,7.33E-05,0.01124007,0,2.20E-06,0.005120239,0,8.00E-07,3.14E-05,0,8.17E-06,0,1.72E-06,0.09048851,0.03270204,0,1.384749,0.2798529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5513172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.538128,0
Gelatinous filter feeders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.299211,7.54E-07,0,0.000203577,0,6.09E-07,0,0.005568628,1.42E-05,0.002242069,2.64E-05,0,0,0,0,4.13E-05,0,0,0,0.002364281,0,0.04158767,1.284489,0,0.3956426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05068956,0,0.5513172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.024699,0
Pteropods,0,0,0,0,0.01707195,0,0,0,0,0,0,0,0,0,0.07748631,2.93E-06,0,4.90E-07,0,3.83E-05,0,0.01229642,0.0108912,0.00238976,8.98E-08,0,0.003556378,0,0,5.07E-05,5.79E-05,0,1.89E-05,0,0,7.13E-05,0,0,0,0.2238823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5513172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.094745,0
Copepods,0,0,0,0,1.586452,0,0,0,0,0,0,0.1248654,0.005563094,0,51.1341,0.06096897,0.3590595,0.00050333,0,0,0,0.01313964,0.007508161,0.000526625,0.00232534,0,0.005334567,0,0,0.0170102,0.02074892,0,0.004379662,0.06809696,0,0.03133243,0.000750409,0,1.978213,0.7835882,0.05899995,0.3015695,2.144037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1520687,0.04563464,2.756586,69.73208,5.86723,3.026793,3.026409,0.9063079,0,0,0,0,0,0,0,0,0,154.3788,0
Pelagic microbes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000203167,0.000268748,0,0,0,0,0,0.001774632,4.51E-05,0.001403877,9.50E-05,0,0,0.003102866,0,0,0,0,0,0,0,0.000609853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05068956,0.02738079,1.653951,41.83925,3.520338,1.816076,1.815845,0.5437847,358.6418,0,0,0,0,0,0,0,0,1029.369,0
Benthic microbes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.3875,236.7282,0.1835757,0.9518236,0.02780974,50.57624,146.1788,20.45737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416.7943,0
Macroalgae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000178804,0,0,0,0,8.80E-07,0,0,9.96E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01905634,0.03024123,0,0,0,0,0.8901562,1.460976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6000963,0
Large Phytoplankton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05068956,0.09126928,2.756586,139.4642,11.73446,6.053586,6.052817,1.812616,179.3209,0,0,0,0,0,0,0,0,95.50305,0
Sm Phytoplankton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01825386,1.102634,27.89283,2.346892,1.210717,1.210564,0.3625232,179.3209,1475,0,0,0,0,0,0,0,2693.284,0
Outside Production,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
Discards,0,0,0,0,0,0,0,0,0,0,0,0,0.000239868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01009063,0.002400998,0.04009432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Offal,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01597419,1.74897,0.7951743,0,0.07412701,0.00027929,0.000227009,0.01103273,0.03887152,0.07423051,2.28E-05,5.70E-06,0.1205839,0.001393876,0.00296176,0,0,0,0,0,0,0,0.01344283,0,0,0,0,0,0,0,0.01009063,0.002400998,0.04009432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Detritus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125353,0.04600366,1.046094,6.498132,12.24216,0,16.06326,2.670469,1.460976,1.81822,0.7278746,164.3875,236.7282,0.7343028,3.807294,0.111239,202.305,146.1788,20.45737,0,0,0,0,0,0,0,0,0,632.1427,1517.143,0,0,0,0,0,0,0,0
Outside Detritus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
