Prey \ predator,Killers Whales,Toothed Whales,Porpoises,Gray Whales,Baleen whales,Sea Otters,Walrus Bd Seals,N Fur Seal,Steller Sea Lion juv,Resident seals,Wintering seals,Mobile Seabirds,Inshore Seabirds,Sleeper shark,W Pollock ,P cod ,Herring ,Arrowtooth ,Kamchatka fl ,Gr Turbot ,P Halibut ,YF Sole ,FH Sole ,N Rock sole ,Flatfish,Skates,Sablefish ,Eelpouts,Deepwater Fish,POP,Rockfish,Shortspine Thorns,Other Sebastes,Atka mackerel ,Greenlings,Sculpins,Misc fish shallow,Octopi,Squids,Salmon,Bathylagidae,Myctophid,Forage fish,Bairdi,King Crab,Opilio,Pandalidae,NP shrimp,Sea stars,Brittle stars,Urchins dollars cucumbers,Snails,Hermit crabs,Misc crabs,Misc Crustacean,Benthic Amphipods,Coral-like,Urochordata,Sea Pens & Sponges,Bivalves,Polychaetes,Misc worms,Scyphozoid,Fish Larve,Chaetognaths,Euphasids,Mysids,Pelagic Amphipods,Gelatinous filter feeders,Pteropods,Copepods,Pelagic microbes,Benthic microbes
Fish Larve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000358,0.000010536,0,8.42E-05,0,0,0.00003085,0.000018355,0,0,0.00000069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0
Chaetognaths,0,0,0,0,0.009810885,0,0,0,0,0,0,0,0,0,0.029100345,0.00000418,0,6.04E-06,0,0,0,0.000033814,0.001704423,0.0000011,0,0,0,0,0,0.001513932,0.01487977,0,0.01606571,0,0,0,0,0,0.025,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Euphasids,0,0,0,0,0.311554647,0,0,0,0,0,0,0.087253536,0.034667194,0,0.33931325,0.02748753,0.917588,0.168790585,0.054437795,0.496800815,0.001688993,0.0822216,0.1343944,0.008855405,0.034079308,0.00004705,0.250172262,0.00018246,0,0.2125694,0.224445088,0,0.1875639,0.94182535,0,0.004797685,0.01160732,0,0.42,0.225,0.9,0.9,0.9,0,0,0.000603733,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0.05,0,0,0,0,0,0,0,0
Mysids,0,0,0,0,0.018911236,0,0,0,0,0,0,0.005214748,0.002000256,0,0.05280848,0.16070485,0,0.010290326,0.003210416,6.43E-05,0.153665268,0.00791083,0.12096316,0.009060812,0.049409374,0.000291624,0,0.00008429,0,0.7115371,0.058273263,0.4827628,0.1286945,0,0.04326757,0.039552955,0.03460016,0,0.025,0,0,0,0,0,0,0.00413271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0
Pelagic Amphipods,0,0,0,0,0.029473632,0,0,0,0,0,0,0.008127312,0.003117447,0,0.010569044,0.000159845,0.000210716,5.01E-07,0,0.003862032,0,0.000228123,0.000180774,0.000008381,0.004222574,0,0.0000309,0.001079521,0,0.0000024,0.000362598,0,0.000366887,0,0.000724533,0.02697904,0.01400283,0,0.14,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0
Gelatinous filter feeders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010135774,5.05E-08,0,0.000065239,0,0.000000365,0,0.000964106,0.0000038,0.000256495,0.0000099,0,0,0,0,0.000123797,0,0,0,0.001845833,0,0.012399315,0.550011,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0,0,0,0,0,0,0,0
Pteropods,0,0,0,0,0.004259509,0,0,0,0,0,0,0,0,0,0.000304508,1.97E-07,0,0.000000157,0,0.000022975,0,0.002128901,0.002918756,0.000273391,3.38E-08,0,0.05,0,0,0.000152204,0.000669886,0,0.000849887,0,0,0.00002125,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0
Copepods,0,0,0,0,0.395825083,0,0,0,0,0,0,0.128291116,0.050972069,0,0.3917217,0.003084104,0.081974605,0.000161299,0,0,0,0.002274888,0.002012128,6.02E-05,0.000873564,0,0.075,0,0,0.0510379,0.239905745,0,0.1966505,0.053164422,0,0.009341725,0.000321321,0,0.2,0.35,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0
Pelagic microbes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000001585,1.80E-05,0,0,0,0,0,0.000307245,0.000012088,0.000160605,3.57E-05,0,0,0.00065419,0,0,0,0,0,0,0,0.000181827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.5,0,0
Benthic microbes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.15,0.15,0.15,0.15,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0
Macroalgae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20E-05,0,0,0,0,0.000000695,0,0,1.14E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02492626,0.004452738,0,0,0,0,0.25,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Large Phytoplankton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.25,0,0
Sm Phytoplankton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.25,0.7,0
Outside Production,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Discards,0,0,0,0,0,0,0,0,0,0,0,0,0.002197802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006252619,0.003140578,0.005903514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Offal,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.005644555,0.036266025,0,0.02375502,0.001507412,0.000136045,0.0087149,0.006729892,0.01989319,0.00000261,0.00000214,0.077958347,0.01959685,0.00062444,0,0,0,0,0,0,0,0.004007963,0,0,0,0,0,0,0,0.006252619,0.003140578,0.005903514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Detritus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07767446,0.06017417,0.1540276,0.4,0.4,0,0.9,0.75,0.2,0.25,0.25,0.5,0.5,0.6,0.6,0.6,0.6,0.5,0.5,0,0,0,0,0,0,0,0,0,0.3,1
Outside Detritus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
